cocktailId	cocktail	ingredientId	ingredient	quantityAmount	quantityUnit	source
3d576b57-4db5-4f0e-8819-54915c270046	18th Century	0ca2125d-3973-4ab8-bf8b-c338e68fa6ee	arrack	1.5	oz	Death & Co: Modern Classic Cocktails
3d576b57-4db5-4f0e-8819-54915c270046	18th Century	ec478592-fc11-4311-8b83-44b7bb78d9b4	lime juice	0.75	oz	Death & Co: Modern Classic Cocktails
3d576b57-4db5-4f0e-8819-54915c270046	18th Century	e523335f-0255-4d44-a6ce-291a724b7703	white crème de cacao	0.75	oz	Death & Co: Modern Classic Cocktails
3d576b57-4db5-4f0e-8819-54915c270046	18th Century	c39ff8f5-1721-4ab0-b2ed-b662f5a7a0d8	sweet vermouth	0.75	oz	Death & Co: Modern Classic Cocktails
958fc63e-ad69-4be8-921e-fdb5ca609695	19th Century	463c2b68-5821-49c4-9678-ddd299b40ffd	bourbon whiskey	1.5	oz	Death & Co: Modern Classic Cocktails
958fc63e-ad69-4be8-921e-fdb5ca609695	19th Century	e523335f-0255-4d44-a6ce-291a724b7703	white crème de cacao	0.75	oz	Death & Co: Modern Classic Cocktails
958fc63e-ad69-4be8-921e-fdb5ca609695	19th Century	85c41193-c77b-4065-812d-e4bd97d1f4c9	quinquina	0.75	oz	Death & Co: Modern Classic Cocktails
958fc63e-ad69-4be8-921e-fdb5ca609695	19th Century	7c6053c4-0156-48c3-9790-81c44e0123ab	lemon juice	0.75	oz	Death & Co: Modern Classic Cocktails
79d2f804-a379-4255-abf6-8149e086f568	202 Steps	bbaa8f39-4532-4e65-8730-39bc714d5f94	orange bitters	2	dashes	Death & Co: Modern Classic Cocktails
79d2f804-a379-4255-abf6-8149e086f568	202 Steps	4f9b7258-667c-4944-b789-9b4692d4e745	tangerine	0.25	oz	Death & Co: Modern Classic Cocktails
79d2f804-a379-4255-abf6-8149e086f568	202 Steps	463c2b68-5821-49c4-9678-ddd299b40ffd	bourbon whiskey	2	oz	Death & Co: Modern Classic Cocktails
79d2f804-a379-4255-abf6-8149e086f568	202 Steps	805371f1-a361-4fb2-8d9d-b5422deda60b	simple syrup	0.5	oz	Death & Co: Modern Classic Cocktails
3b38f818-c233-4279-ba59-c171e94e7856	20th Century	4ee29fb2-478a-41e3-be3a-f145a947ba56	London Dry gin	1.5	oz	Death & Co: Modern Classic Cocktails
3b38f818-c233-4279-ba59-c171e94e7856	20th Century	e523335f-0255-4d44-a6ce-291a724b7703	white crème de cacao	0.75	oz	Death & Co: Modern Classic Cocktails
3b38f818-c233-4279-ba59-c171e94e7856	20th Century	7c6053c4-0156-48c3-9790-81c44e0123ab	lemon juice	0.75	oz	Death & Co: Modern Classic Cocktails
3b38f818-c233-4279-ba59-c171e94e7856	20th Century	85c41193-c77b-4065-812d-e4bd97d1f4c9	quinquina	0.75	oz	Death & Co: Modern Classic Cocktails
f698e7d1-ea10-4aa7-898b-269f8eb61496	6th Street Swizzle	73cc622a-6c9a-41ce-94fe-46c38bfa8bf6	rhum agricole blanc	1.5	oz	Death & Co: Modern Classic Cocktails
f698e7d1-ea10-4aa7-898b-269f8eb61496	6th Street Swizzle	97d1aa7c-e3ec-4a81-b6ed-806c76d0563c	aromatic bitters	2	dashes	Death & Co: Modern Classic Cocktails
f698e7d1-ea10-4aa7-898b-269f8eb61496	6th Street Swizzle	ec478592-fc11-4311-8b83-44b7bb78d9b4	lime juice	1	oz	Death & Co: Modern Classic Cocktails
f698e7d1-ea10-4aa7-898b-269f8eb61496	6th Street Swizzle	4547406c-b2bf-4813-bf4f-d9194596227d	cane sugar syrup	0.75	oz	Death & Co: Modern Classic Cocktails
bb5ba700-975e-4f2f-94e1-b1810e25bec7	Airmail	0ba2af59-028e-443e-87fe-4cfc60e30d04	brut Champagne	4	oz	Death & Co: Modern Classic Cocktails
bb5ba700-975e-4f2f-94e1-b1810e25bec7	Airmail	d1f89ffc-cd86-4195-bf86-0cac7e96040c	acacia honey syrup	0.5	oz	Death & Co: Modern Classic Cocktails
bb5ba700-975e-4f2f-94e1-b1810e25bec7	Airmail	bb42a8e5-5b6e-4b1e-bc64-89f9cf3960fe	blended aged Puerto Rican rum	1	oz	Death & Co: Modern Classic Cocktails
